date,price,bedrooms,bathrooms,sqft_living,waterfront,view,grade,sqft_above,sqft_basement,yr_built,zipcode,lat,long,sqft_living15,sqft_lot15,expensive_home,house_age,sqft_ratio,house_age_group
20140512T000000,1225000.0,4,4.5,5420,0,0,11,3890,1530,2001,98053,47.6561,-122.005,4760,101930,1,24,0.8782287822878229,Modern
20150312T000000,323000.0,3,2.5,1890,0,0,7,1890,0,2003,98038,47.3684,-122.031,2390,7570,0,22,1.2645502645502646,Modern
20150302T000000,719000.0,4,2.5,2570,0,0,8,2570,0,2005,98052,47.7073,-122.11,2630,6026,1,20,1.0233463035019454,Modern
20141110T000000,580500.0,3,2.5,2320,0,0,8,2320,0,2003,98027,47.5391,-122.07,2580,3980,1,22,1.1120689655172413,Modern
20141201T000000,280000.0,2,1.5,1190,0,0,7,1190,0,2005,98133,47.7274,-122.357,1390,1756,0,20,1.1680672268907564,Modern
20140707T000000,861990.0,5,2.75,3595,0,0,9,3595,0,2014,98053,47.6848,-122.016,3625,5639,1,11,1.0083449235048678,Modern
20140718T000000,488000.0,3,2.5,3160,0,0,8,3160,0,2003,98019,47.7443,-121.977,3050,9232,0,22,0.9651898734177216,Modern
20140819T000000,292500.0,4,2.5,2250,0,0,7,2250,0,2008,98042,47.3663,-122.114,2250,4500,0,17,1.0,Modern
20150407T000000,301000.0,3,2.5,2420,0,0,8,2420,0,2003,98042,47.3663,-122.122,2690,4750,0,22,1.1115702479338843,Modern
20141207T000000,549000.0,3,1.75,1540,0,0,8,1540,0,2014,98115,47.6765,-122.32,1580,3090,1,11,1.025974025974026,Modern
20141009T000000,287000.0,4,2.5,2240,0,0,7,2240,0,2005,98001,47.3378,-122.257,2221,4557,0,20,0.9915178571428571,Modern
20140710T000000,360000.0,4,2.5,2380,0,0,8,2380,0,2005,98038,47.3608,-122.036,2420,5000,0,20,1.0168067226890756,Modern
20150323T000000,720000.0,4,2.5,3450,0,0,10,3450,0,2002,98010,47.342,-122.025,3350,39750,1,23,0.9710144927536232,Modern
20141202T000000,390000.0,3,2.5,2350,0,0,8,2350,0,2003,98038,47.3512,-122.008,2350,5363,0,22,1.0,Modern
20140618T000000,461000.0,3,3.25,2770,0,0,9,1980,790,2006,98056,47.5228,-122.199,1900,7349,0,19,0.6859205776173285,Modern
20140904T000000,335000.0,2,1.75,1030,0,0,7,765,265,2006,98136,47.5394,-122.387,1030,1106,0,19,1.0,Modern
20150311T000000,1099880.0,5,2.75,3520,0,0,10,3520,0,2001,98199,47.6506,-122.391,2520,6250,1,24,0.7159090909090909,Modern
20141028T000000,480000.0,4,2.5,3230,0,3,9,2520,710,2001,98001,47.3183,-122.253,2640,8517,0,24,0.8173374613003096,Modern
20140626T000000,518500.0,3,3.5,1590,0,0,8,1590,0,2010,98103,47.6824,-122.347,1620,3166,1,15,1.0188679245283019,Modern
20150406T000000,430000.0,4,2.5,2070,0,0,7,2070,0,2004,98065,47.5319,-121.85,1970,3748,0,21,0.9516908212560387,Modern
20140512T000000,453246.0,3,2.5,2010,0,0,8,1390,620,2014,98029,47.5517,-121.998,1690,1662,0,11,0.8407960199004975,Modern
20150126T000000,675000.0,4,3.5,2140,0,0,9,2140,0,2005,98107,47.6734,-122.38,1540,2285,1,20,0.719626168224299,Modern
20140507T000000,519950.0,3,2.25,1170,0,0,8,1170,0,2014,98107,47.6722,-122.381,1350,1310,1,11,1.1538461538461537,Modern
20140806T000000,430000.0,2,2.5,2420,0,0,7,2420,0,2007,98027,47.5262,-121.943,1940,193842,0,18,0.8016528925619835,Modern
20150401T000000,2250000.0,4,3.25,5180,0,3,12,3540,1640,2006,98006,47.562,-122.162,3160,9750,1,19,0.61003861003861,Modern
20150210T000000,425000.0,3,2.5,1120,0,0,8,820,300,2008,98122,47.6106,-122.31,1590,1795,0,17,1.4196428571428572,Modern
20140515T000000,256883.0,3,2.5,1690,0,0,8,1690,0,2003,98023,47.2779,-122.347,2550,5001,0,22,1.5088757396449703,Modern
20140723T000000,465000.0,3,2.5,2150,0,0,8,2150,0,2007,98126,47.5488,-122.372,1750,2385,0,18,0.813953488372093,Modern
20140919T000000,677900.0,3,2.5,2440,0,0,8,2440,0,2010,98052,47.7073,-122.114,2750,4587,1,15,1.1270491803278688,Modern
20140717T000000,625504.0,3,2.25,1270,0,0,8,1060,210,2014,98105,47.6647,-122.284,1160,1327,1,11,0.9133858267716536,Modern
20150114T000000,465000.0,3,2.5,2714,0,0,9,2714,0,2005,98001,47.3185,-122.275,2590,18386,0,20,0.9543109801031687,Modern
20150309T000000,479950.0,2,2.0,1510,0,0,8,1510,0,2005,98053,47.7076,-122.013,1640,6009,0,20,1.086092715231788,Modern
20150303T000000,516500.0,3,2.5,1480,0,0,7,1480,0,2004,98053,47.6794,-122.034,2250,4729,1,21,1.5202702702702702,Modern
20140513T000000,455000.0,4,2.5,3360,0,0,9,3360,0,2001,98058,47.4369,-122.111,3060,6567,0,24,0.9107142857142857,Modern
20140829T000000,693000.0,4,2.5,2460,0,0,8,2460,0,2006,98052,47.7048,-122.109,2990,5659,1,19,1.2154471544715446,Modern
20150320T000000,365000.0,3,2.5,2653,0,0,8,2653,0,2006,98031,47.4145,-122.166,2653,4927,0,19,1.0,Modern
20141113T000000,770000.0,4,2.75,3820,0,0,9,2850,970,2014,98028,47.7618,-122.261,1860,12136,1,11,0.4869109947643979,Modern
20140630T000000,780000.0,4,2.5,3500,0,0,9,3500,0,2005,98053,47.6811,-122.025,3920,7864,1,20,1.12,Modern
20140624T000000,3075000.0,4,5.0,4550,1,4,10,2600,1950,2002,98074,47.6053,-122.077,4550,19508,1,23,1.0,Modern
20150401T000000,208633.0,3,2.5,2040,0,0,8,2040,0,2006,98038,47.3537,-122.0,2370,4590,0,19,1.161764705882353,Modern
20140513T000000,819900.0,5,2.75,3150,0,0,9,3150,0,2013,98052,47.6759,-122.151,1560,8384,1,12,0.49523809523809526,Modern
20140721T000000,230000.0,3,2.0,1450,0,0,7,1450,0,2003,98001,47.2639,-122.252,1520,9518,0,22,1.0482758620689656,Modern
20141007T000000,260000.0,4,2.5,1960,0,0,7,1960,0,2003,98038,47.3483,-122.052,1800,5894,0,22,0.9183673469387755,Modern
20140602T000000,559900.0,3,2.75,2930,0,0,9,1860,1070,2004,98072,47.7648,-122.164,2580,11045,1,21,0.8805460750853242,Modern
20141106T000000,684000.0,4,3.5,3040,0,0,9,2420,620,2010,98059,47.5222,-122.157,3470,8066,1,15,1.1414473684210527,Modern
20140718T000000,552250.0,4,2.5,2580,0,0,8,2580,0,2002,98065,47.5374,-121.875,2380,5823,1,23,0.9224806201550387,Modern
20140806T000000,300000.0,4,2.5,1910,0,0,7,1910,0,2005,98038,47.3607,-122.034,2010,5091,0,20,1.0523560209424083,Modern
20140819T000000,604950.0,3,2.5,2110,0,0,8,1340,770,2013,98033,47.6743,-122.184,2040,9363,1,12,0.966824644549763,Modern
20150326T000000,673000.0,4,2.5,2990,0,0,9,2990,0,2002,98166,47.4508,-122.359,2140,17449,1,23,0.7157190635451505,Modern
20141223T000000,380000.0,5,3.0,3450,0,0,9,3450,0,2004,98023,47.2813,-122.345,2860,9721,0,21,0.8289855072463768,Modern
20140520T000000,730000.0,4,2.5,3230,0,0,10,3230,0,2004,98075,47.5823,-121.97,3480,7447,1,21,1.0773993808049536,Modern
20150313T000000,389000.0,4,2.25,2130,0,0,7,2130,0,2001,98019,47.7237,-121.959,2300,6930,0,24,1.07981220657277,Modern
20140618T000000,330000.0,3,2.5,1600,0,0,8,1600,0,2005,98019,47.7736,-121.901,1790,27743,0,20,1.11875,Modern
20150306T000000,557000.0,3,3.5,1710,0,0,8,1290,420,2008,98122,47.6055,-122.305,1630,1543,1,17,0.9532163742690059,Modern
20140912T000000,650000.0,3,3.25,1510,0,0,9,1330,180,2001,98116,47.5815,-122.402,1510,1352,1,24,1.0,Modern
20140806T000000,450000.0,3,2.0,1290,0,0,8,1290,0,2001,98103,47.6609,-122.344,1290,3235,0,24,1.0,Modern
20140716T000000,517534.0,2,1.0,833,0,0,5,833,0,2006,98070,47.3889,-122.482,1380,143947,1,19,1.6566626650660263,Modern
20141223T000000,355000.0,3,2.25,1860,0,0,8,1860,0,2012,98019,47.7318,-121.982,2320,5465,0,13,1.2473118279569892,Modern
20150512T000000,365000.0,3,2.5,2200,0,0,8,2200,0,2005,98058,47.4362,-122.178,2310,5082,0,20,1.05,Modern
20140903T000000,237000.0,3,2.5,1490,0,0,7,1490,0,2005,98055,47.4324,-122.197,1490,2094,0,20,1.0,Modern
20140919T000000,525000.0,4,2.5,2450,0,0,8,2450,0,2003,98011,47.7734,-122.224,2300,4674,1,22,0.9387755102040817,Modern
20141110T000000,1030000.0,3,2.5,3545,0,0,10,2610,935,2005,98027,47.5534,-122.078,3630,7704,1,20,1.0239774330042313,Modern
20140520T000000,551000.0,3,2.5,2830,0,0,9,2830,0,2001,98028,47.7605,-122.234,2500,5788,1,24,0.8833922261484098,Modern
20140626T000000,1050000.0,4,3.5,3450,0,0,10,3450,0,2007,98006,47.5637,-122.123,3220,8567,1,18,0.9333333333333333,Modern
20140811T000000,859900.0,4,2.75,3390,0,0,9,3390,0,2011,98074,47.5906,-122.062,3390,7111,1,14,1.0,Modern
20140808T000000,520000.0,4,2.25,1890,0,0,7,1890,0,2003,98029,47.5461,-121.998,1580,3000,1,22,0.8359788359788359,Modern
20140711T000000,460000.0,3,2.5,1610,0,2,9,1080,530,2005,98118,47.5674,-122.29,1610,4173,0,20,1.0,Modern
20141216T000000,699900.0,4,2.75,2810,0,0,9,2810,0,2002,98075,47.5985,-121.977,2820,7302,1,23,1.00355871886121,Modern
20140512T000000,490000.0,2,2.5,1230,0,0,8,870,360,2004,98112,47.6192,-122.301,1240,1350,0,21,1.008130081300813,Modern
20150510T000000,650000.0,4,2.5,3180,0,0,9,3180,0,2003,98065,47.5416,-121.864,3030,5335,1,22,0.9528301886792453,Modern
20140612T000000,1485000.0,4,3.75,4030,0,0,10,4030,0,2006,98033,47.6821,-122.196,2160,7200,1,19,0.5359801488833746,Modern
20150305T000000,480000.0,4,2.5,2600,0,0,8,2600,0,2005,98059,47.4877,-122.139,2830,7787,0,20,1.0884615384615384,Modern
20150507T000000,750000.0,3,2.5,2400,0,0,9,2400,0,2001,98033,47.6734,-122.173,2080,8615,1,24,0.8666666666666667,Modern
20140805T000000,890000.0,4,3.25,3180,0,0,10,3180,0,2005,98059,47.4711,-122.084,2200,178160,1,20,0.6918238993710691,Modern
20150326T000000,515000.0,5,3.0,2530,0,0,8,1520,1010,2005,98133,47.7546,-122.341,2290,4011,1,20,0.9051383399209486,Modern
20140620T000000,650000.0,4,2.5,3040,0,0,7,3040,0,2003,98053,47.683,-122.039,2740,6587,1,22,0.9013157894736842,Modern
20140618T000000,1600000.0,6,5.0,6050,0,3,11,6050,0,2001,98024,47.6033,-121.943,4210,233971,1,24,0.6958677685950413,Modern
20141030T000000,280000.0,4,2.5,1560,0,0,7,1560,0,2003,98056,47.5025,-122.186,1560,4350,0,22,1.0,Modern
20150319T000000,259950.0,2,2.0,1070,0,0,9,720,350,2008,98106,47.5213,-122.357,1070,928,0,17,1.0,Modern
20141217T000000,880000.0,3,2.5,2870,0,0,9,2870,0,2014,98103,47.6935,-122.352,1630,7995,1,11,0.5679442508710801,Modern
20140728T000000,435000.0,3,2.5,1840,0,0,7,1840,0,2008,98053,47.6969,-122.026,1600,4697,0,17,0.8695652173913043,Modern
20140718T000000,338900.0,4,2.5,1830,0,0,7,1830,0,2003,98038,47.3572,-122.015,1830,5998,0,22,1.0,Modern
20150123T000000,720000.0,4,4.0,3200,0,0,10,3200,0,2004,98075,47.5816,-121.97,3480,7944,1,21,1.0875,Modern
20141209T000000,266000.0,3,2.5,1805,0,0,7,1805,0,2009,98002,47.3521,-122.212,2095,3402,0,16,1.1606648199445984,Modern
20141211T000000,930000.0,4,4.0,6050,0,2,9,4150,1900,2009,98077,47.7466,-122.029,2700,199504,1,16,0.4462809917355372,Modern
20150127T000000,530000.0,4,2.5,2320,0,0,8,2320,0,2004,98028,47.7727,-122.229,2450,5471,1,21,1.0560344827586208,Modern
